,Date,Max.TemperatureC,Min.TemperatureC,Max.Gust.SpeedKPH,Events,Season
639,1998-03-28,16,9,,Rain,Spring
640,1998-03-29,17,10,,Rain,Spring
641,1998-03-30,15,9,,Rain,Spring
642,1998-03-31,14,5,,,Spring
643,1998-04-01,12,8,,Rain,Spring
644,1998-04-02,14,9,,Rain,Spring
645,1998-04-03,14,7,39,Rain-Thunderstorm,Spring
646,1998-04-04,14,9,39,Rain,Spring
647,1998-04-05,14,8,34,Rain,Spring
648,1998-04-06,13,8,,Rain,Spring
649,1998-04-07,14,6,,Fog-Rain,Spring
650,1998-04-08,12,3,,Fog-Rain-Thunderstorm,Spring
651,1998-04-09,11,6,,Rain-Thunderstorm,Spring
652,1998-04-10,9,4,,Rain-Thunderstorm,Spring
653,1998-04-11,8,3,29,Rain,Spring
654,1998-04-12,9,0,22,,Spring
655,1998-04-13,9,1,31,Rain-Snow,Spring
656,1998-04-14,7,1,,Rain,Spring
657,1998-04-15,5,1,,Rain-Snow,Spring
658,1998-04-16,9,1,,Rain,Spring
659,1998-04-17,8,4,30,Rain,Spring
660,1998-04-18,8,4,,Rain,Spring
661,1998-04-19,12,6,,Rain,Spring
662,1998-04-20,15,7,24,Fog,Spring
663,1998-04-21,14,6,,Rain,Spring
664,1998-04-22,22,10,,Rain-Thunderstorm,Spring
665,1998-04-23,14,10,28,Rain,Spring
666,1998-04-24,17,8,,Rain,Spring
667,1998-04-25,16,8,23,Rain-Thunderstorm,Spring
668,1998-04-26,15,6,29,Rain,Spring
669,1998-04-27,14,5,,Fog-Rain-Thunderstorm,Spring
670,1998-04-28,14,5,,Fog-Rain-Thunderstorm,Spring
671,1998-04-29,16,7,,,Spring
672,1998-04-30,13,9,28,,Spring
673,1998-05-01,10,8,23,Rain,Spring
674,1998-05-02,15,8,28,,Spring
675,1998-05-03,12,6,30,Rain,Spring
676,1998-05-04,16,2,,,Spring
677,1998-05-05,14,8,28,Rain,Spring
678,1998-05-06,17,10,31,Rain,Spring
679,1998-05-07,16,11,33,,Spring
680,1998-05-08,22,9,24,Fog-Rain,Spring
681,1998-05-09,23,14,,,Spring
682,1998-05-10,23,12,,Rain,Spring
683,1998-05-11,23,11,,,Spring
684,1998-05-12,22,11,,,Spring
685,1998-05-13,25,11,,,Spring
686,1998-05-14,24,17,,Rain-Thunderstorm,Spring
687,1998-05-15,26,12,,,Spring
688,1998-05-16,24,11,,,Spring
689,1998-05-17,21,10,,,Spring
690,1998-05-18,23,9,,,Spring
691,1998-05-19,24,11,,,Spring
692,1998-05-20,24,12,,Rain-Thunderstorm,Spring
693,1998-05-21,18,11,,,Spring
694,1998-05-22,18,8,,,Spring
695,1998-05-23,17,11,,,Spring
696,1998-05-24,18,12,,,Spring
697,1998-05-25,19,11,34,Rain,Spring
698,1998-05-26,17,11,,Rain,Spring
699,1998-05-27,12,8,,Rain,Spring
700,1998-05-28,17,9,,Rain,Spring
701,1998-05-29,18,12,,,Spring
702,1998-05-30,22,8,,,Spring
703,1998-05-31,20,12,,Rain,Spring
704,1998-06-01,21,9,,Rain,Spring
705,1998-06-02,19,13,33,Rain,Spring
706,1998-06-03,18,11,33,Rain,Spring
707,1998-06-04,17,11,,,Spring
708,1998-06-05,18,10,,,Spring
709,1998-06-06,23,14,,Rain,Spring
710,1998-06-07,21,11,28,Rain,Spring
711,1998-06-08,17,11,32,Rain,Spring
712,1998-06-09,20,14,39,Rain,Spring
713,1998-06-10,17,12,32,Rain,Spring
714,1998-06-11,12,8,29,Rain,Spring
715,1998-06-12,17,6,,,Spring
716,1998-06-13,15,11,28,Rain,Spring
717,1998-06-14,18,12,,Rain-Thunderstorm,Spring
718,1998-06-15,18,11,,Rain-Thunderstorm,Spring
719,1998-06-16,18,12,,Rain,Spring
720,1998-06-17,18,10,,Rain,Spring
721,1998-06-18,19,12,,Rain,Spring
722,1998-06-19,25,15,,,Spring
723,1998-06-20,28,16,,Rain,Spring
724,1998-06-21,25,15,,Rain,Summer
725,1998-06-22,21,12,26,,Summer
726,1998-06-23,20,14,24,Rain,Summer
727,1998-06-24,23,14,,Rain,Summer
728,1998-06-25,20,13,,Rain,Summer
729,1998-06-26,18,12,30,Rain,Summer
730,1998-06-27,20,13,28,Rain-Thunderstorm,Summer
731,1998-06-28,22,11,,Rain,Summer
732,1998-06-29,19,11,,Rain,Summer
733,1998-06-30,19,14,,Rain,Summer
734,1998-07-01,20,13,,,Summer
735,1998-07-02,17,11,,,Summer
736,1998-07-03,20,10,,,Summer
737,1998-07-04,19,12,,,Summer
738,1998-07-05,23,12,,,Summer
739,1998-07-06,19,14,,Rain,Summer
740,1998-07-07,20,13,,Rain,Summer
741,1998-07-08,23,9,,,Summer
742,1998-07-09,22,14,,Rain,Summer
743,1998-07-10,21,16,24,Rain,Summer
744,1998-07-11,18,15,,Rain,Summer
745,1998-07-12,19,15,34,Rain,Summer
746,1998-07-13,19,12,29,Rain-Thunderstorm,Summer
747,1998-07-14,20,11,30,,Summer
748,1998-07-15,19,12,,,Summer
749,1998-07-16,22,13,,Rain,Summer
750,1998-07-17,22,13,,Rain,Summer
751,1998-07-18,21,13,29,,Summer
752,1998-07-19,23,12,,,Summer
753,1998-07-20,26,15,,Rain-Thunderstorm,Summer
754,1998-07-21,21,15,26,Rain,Summer
755,1998-07-22,22,13,26,Rain,Summer
756,1998-07-23,23,15,,Rain,Summer
757,1998-07-24,22,12,,,Summer
758,1998-07-25,22,12,,,Summer
759,1998-07-26,21,12,,Rain,Summer
760,1998-07-27,23,13,,Rain,Summer
761,1998-07-28,22,14,,Rain,Summer
762,1998-07-29,22,15,,Rain,Summer
763,1998-07-30,22,13,38,Rain,Summer
764,1998-07-31,22,13,,Rain,Summer
765,1998-08-01,21,12,,Rain-Thunderstorm,Summer
766,1998-08-02,21,12,,,Summer
767,1998-08-03,18,12,31,Rain,Summer
768,1998-08-04,23,14,,Rain,Summer
769,1998-08-05,26,12,,,Summer
770,1998-08-06,27,11,,,Summer
771,1998-08-07,29,12,,,Summer
772,1998-08-08,30,14,,,Summer
773,1998-08-09,26,17,,,Summer
774,1998-08-10,30,16,,,Summer
775,1998-08-11,30,16,,Fog,Summer
776,1998-08-12,24,15,,,Summer
777,1998-08-13,22,12,,,Summer
778,1998-08-14,27,15,,,Summer
779,1998-08-15,22,14,,Rain,Summer
780,1998-08-16,24,12,,,Summer
781,1998-08-17,25,15,,Rain,Summer
782,1998-08-18,22,15,,,Summer
783,1998-08-19,25,11,,,Summer
784,1998-08-20,22,13,,Rain,Summer
785,1998-08-21,22,14,30,Rain,Summer
786,1998-08-22,20,12,,,Summer
787,1998-08-23,19,9,31,Rain,Summer
788,1998-08-24,19,12,,Rain,Summer
789,1998-08-25,21,10,,Rain,Summer
790,1998-08-26,18,12,,Rain,Summer
791,1998-08-27,20,9,,,Summer
792,1998-08-28,20,9,,,Summer
793,1998-08-29,22,10,,,Summer
794,1998-08-30,21,13,,,Summer
795,1998-08-31,23,11,,Rain,Summer
796,1998-09-01,26,16,,Rain,Summer
797,1998-09-02,23,14,,Rain,Summer
798,1998-09-03,22,15,,Rain,Summer
799,1998-09-04,20,11,,Fog-Rain,Summer
800,1998-09-05,20,15,,Rain,Summer
801,1998-09-06,21,13,,Rain,Summer
802,1998-09-07,23,16,,Rain,Summer
803,1998-09-08,23,16,,Rain,Summer
804,1998-09-09,21,16,37,Rain,Summer
805,1998-09-10,20,14,33,Rain,Summer
806,1998-09-11,18,11,,Rain,Summer
807,1998-09-12,15,7,,Rain,Summer
808,1998-09-13,16,7,25,Rain,Summer
809,1998-09-14,17,8,,,Summer
810,1998-09-15,18,9,26,Rain,Summer
811,1998-09-16,18,9,31,,Summer
812,1998-09-17,18,8,,,Summer
813,1998-09-18,21,12,,,Summer
814,1998-09-19,23,15,,Rain,Summer
815,1998-09-20,21,14,,Fog,Summer
816,1998-09-21,21,14,,,Summer
817,1998-09-22,18,14,,,Summer
818,1998-09-23,21,12,,,Autumn
819,1998-09-24,22,13,,,Autumn
820,1998-09-25,23,13,,Fog,Autumn
821,1998-09-26,22,15,,Rain,Autumn
822,1998-09-27,19,14,,Rain,Autumn
823,1998-09-28,18,15,,Rain,Autumn
824,1998-09-29,17,13,,Rain,Autumn
825,1998-09-30,18,14,24,Rain,Autumn
826,1998-10-01,18,12,23,Rain,Autumn
827,1998-10-02,14,7,,Rain,Autumn
828,1998-10-03,11,6,,,Autumn
829,1998-10-04,12,9,,Rain,Autumn
830,1998-10-05,12,8,,Rain,Autumn
831,1998-10-06,12,10,,Rain,Autumn
832,1998-10-07,13,10,24,,Autumn
833,1998-10-08,12,10,30,Rain,Autumn
834,1998-10-09,15,10,,Rain,Autumn
835,1998-10-10,15,10,,Fog-Rain,Autumn
836,1998-10-11,18,10,,Rain,Autumn
837,1998-10-12,16,9,28,Rain,Autumn
838,1998-10-13,18,9,,Rain,Autumn
839,1998-10-14,18,9,30,Rain,Autumn
840,1998-10-15,16,8,,,Autumn
841,1998-10-16,17,7,38,Rain,Autumn
842,1998-10-17,15,7,37,Rain,Autumn
843,1998-10-18,12,3,,Fog,Autumn
844,1998-10-19,13,3,,,Autumn
845,1998-10-20,14,4,,Rain,Autumn
846,1998-10-21,19,13,30,Rain,Autumn
847,1998-10-22,18,16,34,Rain,Autumn
848,1998-10-23,17,10,41,Rain,Autumn
849,1998-10-24,15,7,51,Rain,Autumn
850,1998-10-25,13,7,46,,Autumn
851,1998-10-26,12,5,28,Rain,Autumn
852,1998-10-27,16,8,46,Rain,Autumn
853,1998-10-28,16,10,38,Rain,Autumn
854,1998-10-29,13,8,37,Rain,Autumn
855,1998-10-30,11,6,28,Rain,Autumn
856,1998-10-31,9,6,,Rain,Autumn
857,1998-11-01,10,4,,Rain,Autumn
858,1998-11-02,10,5,25,Rain,Autumn
859,1998-11-03,10,7,31,Rain,Autumn
860,1998-11-04,8,1,,Rain,Autumn
861,1998-11-05,11,0,30,Rain,Autumn
862,1998-11-06,12,6,,Rain,Autumn
863,1998-11-07,15,6,,,Autumn
864,1998-11-08,15,10,,Rain,Autumn
865,1998-11-09,17,11,31,Rain,Autumn
866,1998-11-10,12,4,,Rain,Autumn
867,1998-11-11,11,2,,Fog,Autumn
868,1998-11-12,10,7,25,Rain,Autumn
869,1998-11-13,9,6,,Rain,Autumn
870,1998-11-14,9,3,28,Rain,Autumn
871,1998-11-15,8,3,,Rain,Autumn
872,1998-11-16,7,1,,,Autumn
873,1998-11-17,7,0,,Fog,Autumn
874,1998-11-18,7,1,,Fog,Autumn
875,1998-11-19,7,3,,Rain,Autumn
876,1998-11-20,6,0,,,Autumn
877,1998-11-21,7,0,,,Autumn
878,1998-11-22,6,0,,,Autumn
879,1998-11-23,6,1,,,Autumn
880,1998-11-24,9,2,,Rain,Autumn
881,1998-11-25,8,3,,Fog-Rain,Autumn
882,1998-11-26,11,2,,Fog-Rain,Autumn
883,1998-11-27,,5,,Rain,Autumn
884,1998-11-28,12,4,,Rain,Autumn
885,1998-11-29,8,1,,,Autumn
886,1998-11-30,7,3,,Rain,Autumn
887,1998-12-01,5,4,,,Autumn
888,1998-12-02,5,2,,,Autumn
889,1998-12-03,3,0,,,Autumn
890,1998-12-04,6,-1,,Rain,Autumn
891,1998-12-05,6,-3,,Rain,Autumn
892,1998-12-06,4,-4,,,Autumn
893,1998-12-07,6,-1,,Rain-Snow,Autumn
894,1998-12-08,10,2,,Rain,Autumn
895,1998-12-09,12,9,,Rain,Autumn
896,1998-12-10,10,6,25,Rain,Autumn
897,1998-12-11,10,5,,Fog-Rain,Autumn
898,1998-12-12,14,10,41,Rain,Autumn
899,1998-12-13,12,8,37,,Autumn
900,1998-12-14,15,12,31,Rain,Autumn
901,1998-12-15,13,7,,Rain,Autumn
902,1998-12-16,12,5,,Fog,Autumn
903,1998-12-17,10,7,,Rain,Autumn
904,1998-12-18,11,6,24,Rain,Autumn
905,1998-12-19,8,4,28,,Autumn
906,1998-12-20,5,-1,,,Autumn
907,1998-12-21,5,-3,,Rain,Winter
908,1998-12-22,8,4,,Fog-Rain,Winter
909,1998-12-23,10,3,,Rain,Winter
910,1998-12-24,11,-1,,Rain,Winter
911,1998-12-25,12,7,36,Rain,Winter
912,1998-12-26,13,6,44,Rain,Winter
913,1998-12-27,10,7,34,Rain,Winter
914,1998-12-28,8,3,,Rain,Winter
915,1998-12-29,10,2,28,,Winter
916,1998-12-30,12,9,31,Rain,Winter
917,1998-12-31,10,8,,Rain,Winter
919,1999-01-01,10,8,32,Rain,Winter
920,1999-01-02,10,4,44,Rain-Thunderstorm,Winter
921,1999-01-03,10,4,48,Rain,Winter
922,1999-01-04,14,9,37,Rain,Winter
923,1999-01-05,15,11,31,Rain,Winter
924,1999-01-06,15,6,31,Rain,Winter
925,1999-01-07,9,3,26,Rain,Winter
926,1999-01-08,7,3,,Rain,Winter
927,1999-01-09,5,2,,Rain,Winter
928,1999-01-10,4,2,,,Winter
929,1999-01-11,3,-2,,Fog,Winter
930,1999-01-12,7,-4,33,Fog-Rain-Snow,Winter
931,1999-01-13,9,2,,Rain,Winter
932,1999-01-14,8,4,31,Rain,Winter
933,1999-01-15,11,7,41,Rain,Winter
934,1999-01-16,12,5,45,Rain,Winter
935,1999-01-17,9,4,,,Winter
936,1999-01-18,10,4,37,Rain,Winter
937,1999-01-19,12,9,34,Rain,Winter
938,1999-01-20,12,9,36,Rain,Winter
939,1999-01-21,9,1,,Fog,Winter
940,1999-01-22,2,-2,,Fog,Winter
941,1999-01-23,9,0,,Fog-Rain,Winter
942,1999-01-24,12,5,31,Fog-Rain,Winter
943,1999-01-25,13,4,41,Rain,Winter
944,1999-01-26,9,4,31,Rain,Winter
945,1999-01-27,9,2,25,Rain,Winter
946,1999-01-28,12,5,32,Rain,Winter
947,1999-01-29,7,2,,Rain,Winter
948,1999-01-30,5,4,,Rain,Winter
949,1999-01-31,6,3,,,Winter
950,1999-02-01,10,5,,,Winter
951,1999-02-02,10,5,,,Winter
952,1999-02-03,11,4,,,Winter
953,1999-02-04,13,8,38,,Winter
954,1999-02-05,10,7,30,Rain,Winter
955,1999-02-06,9,6,25,Rain,Winter
956,1999-02-07,6,-1,28,,Winter
957,1999-02-08,3,-1,,Rain-Snow,Winter
958,1999-02-09,3,-2,,,Winter
959,1999-02-10,5,-2,,,Winter
960,1999-02-11,6,-3,,Rain,Winter
961,1999-02-12,7,3,,Rain-Snow,Winter
962,1999-02-13,7,-1,,Rain-Snow,Winter
963,1999-02-14,7,-3,,Rain,Winter
964,1999-02-15,9,2,,Fog,Winter
965,1999-02-16,9,5,37,Rain,Winter
966,1999-02-17,10,4,30,Rain,Winter
967,1999-02-18,12,9,,Rain,Winter
968,1999-02-19,13,9,,Rain,Winter
969,1999-02-20,10,5,23,,Winter
970,1999-02-21,11,4,37,Rain,Winter
971,1999-02-22,8,3,44,Rain,Winter
972,1999-02-23,8,3,23,Rain,Winter
973,1999-02-24,6,1,,Rain,Winter
974,1999-02-25,9,-1,,,Winter
975,1999-02-26,10,7,,Rain,Winter
976,1999-02-27,10,5,,Rain,Winter
977,1999-02-28,12,4,43,Rain,Winter
978,1999-03-01,13,10,37,Rain,Winter
979,1999-03-02,15,8,41,Rain,Winter
980,1999-03-03,11,6,41,Rain,Winter
981,1999-03-04,8,2,,Rain,Winter
982,1999-03-05,6,2,,Rain,Winter
983,1999-03-06,6,2,,Rain,Winter
984,1999-03-07,5,3,,Rain,Winter
985,1999-03-08,8,4,,Rain,Winter
986,1999-03-09,9,2,,Rain,Winter
987,1999-03-10,7,0,,Fog,Winter
988,1999-03-11,9,0,,Rain,Winter
989,1999-03-12,14,6,,Rain,Winter
990,1999-03-13,14,7,,,Winter
991,1999-03-14,13,3,,Fog,Winter
992,1999-03-15,14,4,,Fog,Winter
993,1999-03-16,16,3,,Fog,Winter
994,1999-03-17,19,6,,Fog,Winter
995,1999-03-18,13,6,31,Fog,Winter
996,1999-03-19,11,5,,,Winter
997,1999-03-20,11,3,,,Spring
998,1999-03-21,12,7,39,Rain,Spring
999,1999-03-22,10,6,30,Rain,Spring
1000,1999-03-23,15,9,,Rain,Spring
1001,1999-03-24,12,7,,Rain,Spring
1002,1999-03-25,13,5,,Rain,Spring
1003,1999-03-26,11,5,,Rain,Spring
1004,1999-03-27,13,2,,,Spring
1005,1999-03-28,15,3,,,Spring
1006,1999-03-29,15,9,28,Rain,Spring
1007,1999-03-30,13,10,,Rain,Spring
1008,1999-03-31,19,10,23,,Spring
1009,1999-04-01,20,9,,,Spring
1010,1999-04-02,18,9,,Rain,Spring
1011,1999-04-03,13,6,,Fog-Rain,Spring
1012,1999-04-04,17,9,,Rain,Spring
1013,1999-04-05,15,11,,Rain,Spring
1014,1999-04-06,17,10,33,Rain,Spring
1015,1999-04-07,12,7,,,Spring
1016,1999-04-08,16,5,,,Spring
1017,1999-04-09,16,9,,,Spring
1018,1999-04-10,16,7,,Rain,Spring
1019,1999-04-11,14,4,,Rain,Spring
1020,1999-04-12,12,8,31,Rain-Thunderstorm,Spring
1021,1999-04-13,9,3,44,Rain,Spring
1022,1999-04-14,8,-1,,,Spring
1023,1999-04-15,11,0,,Rain,Spring
1024,1999-04-16,11,2,,Fog-Rain,Spring
1025,1999-04-17,13,2,,Fog-Rain,Spring
1026,1999-04-18,11,3,,Rain,Spring
1027,1999-04-19,12,1,,Rain,Spring
1028,1999-04-20,12,5,31,Rain,Spring
1029,1999-04-21,15,10,47,Rain,Spring
1030,1999-04-22,14,8,29,Rain,Spring
1031,1999-04-23,13,7,,Rain,Spring
1032,1999-04-24,16,9,,Rain,Spring
1033,1999-04-25,16,5,,Rain,Spring
1034,1999-04-26,18,10,,Rain,Spring
1035,1999-04-27,18,10,31,Rain,Spring
1036,1999-04-28,19,7,29,,Spring
1037,1999-04-29,17,7,,,Spring
1038,1999-04-30,21,6,,,Spring
1039,1999-05-01,20,8,,,Spring
1040,1999-05-02,20,11,,,Spring
1041,1999-05-03,22,9,,,Spring
1042,1999-05-04,18,11,,,Spring
1043,1999-05-05,18,10,,Rain,Spring
1044,1999-05-06,18,9,,Fog-Rain,Spring
1045,1999-05-07,16,9,,Rain,Spring
1046,1999-05-08,16,9,,Rain,Spring
1047,1999-05-09,21,13,26,Rain,Spring
1048,1999-05-10,18,12,32,Rain,Spring
1049,1999-05-11,18,11,29,Rain,Spring
1050,1999-05-12,17,11,,Rain,Spring
1051,1999-05-13,19,10,29,Rain,Spring
1052,1999-05-14,17,11,,Rain,Spring
1053,1999-05-15,15,9,,,Spring
1054,1999-05-16,17,7,,,Spring
1055,1999-05-17,16,8,37,,Spring
1056,1999-05-18,15,11,28,Rain,Spring
1057,1999-05-19,23,10,,Fog-Rain-Thunderstorm,Spring
1058,1999-05-20,22,11,,,Spring
1059,1999-05-21,18,10,30,Rain,Spring
1060,1999-05-22,17,8,25,,Spring
1061,1999-05-23,19,11,,,Spring
1062,1999-05-24,18,12,,,Spring
1063,1999-05-25,18,8,,,Spring
1064,1999-05-26,21,9,,,Spring
1065,1999-05-27,26,11,,Fog-Rain,Spring
1066,1999-05-28,22,14,32,Rain,Spring
1067,1999-05-29,24,13,,Rain-Thunderstorm,Spring
1068,1999-05-30,16,10,,Rain,Spring
1069,1999-05-31,17,10,,,Spring
1070,1999-06-01,23,11,,,Spring
1071,1999-06-02,20,13,40,Rain-Thunderstorm,Spring
1072,1999-06-03,17,12,,Rain,Spring
1073,1999-06-04,18,11,41,Rain,Spring
1074,1999-06-05,17,9,25,Rain,Spring
1075,1999-06-06,19,10,30,Rain,Spring
1076,1999-06-07,17,10,30,Rain,Spring
1077,1999-06-08,18,6,25,,Spring
1078,1999-06-09,19,7,,,Spring
1079,1999-06-10,17,9,,,Spring
1080,1999-06-11,17,13,,Rain,Spring
1081,1999-06-12,16,12,,Rain,Spring
1082,1999-06-13,21,10,,Fog,Spring
1083,1999-06-14,23,11,,Rain,Spring
1084,1999-06-15,25,12,,Fog,Spring
1085,1999-06-16,25,13,,Fog,Spring
1086,1999-06-17,21,13,,,Spring
1087,1999-06-18,23,11,,,Spring
1088,1999-06-19,20,12,22,,Spring
1089,1999-06-20,19,13,21,Rain,Spring
1090,1999-06-21,17,10,,,Summer
1091,1999-06-22,18,8,,,Summer
1092,1999-06-23,21,12,,,Summer
1093,1999-06-24,22,12,,Fog,Summer
1094,1999-06-25,22,12,,,Summer
1095,1999-06-26,27,12,28,Rain,Summer
1096,1999-06-27,19,14,,Rain,Summer
1097,1999-06-28,20,11,30,Rain,Summer
1098,1999-06-29,17,14,,Rain,Summer
1099,1999-06-30,20,11,,Rain,Summer
1100,1999-07-01,21,13,,Rain,Summer
1101,1999-07-02,26,14,,Fog-Rain,Summer
1102,1999-07-03,23,16,28,Rain-Thunderstorm,Summer
1103,1999-07-04,21,15,,Rain,Summer
1104,1999-07-05,23,14,,Rain-Thunderstorm,Summer
1105,1999-07-06,25,14,,Fog-Rain-Thunderstorm,Summer
1106,1999-07-07,24,16,,,Summer
1107,1999-07-08,27,16,,,Summer
1108,1999-07-09,25,16,23,,Summer
1109,1999-07-10,26,13,,,Summer
1110,1999-07-11,27,15,,,Summer
1111,1999-07-12,24,15,,,Summer
1112,1999-07-13,25,13,,Rain,Summer
1113,1999-07-14,19,13,,Rain,Summer
1114,1999-07-15,21,11,,,Summer
1115,1999-07-16,21,12,25,,Summer
1116,1999-07-17,26,16,,,Summer
1117,1999-07-18,28,14,21,,Summer
1118,1999-07-19,26,17,,Rain,Summer
1119,1999-07-20,24,15,32,Rain,Summer
1120,1999-07-21,20,14,33,,Summer
1121,1999-07-22,16,11,,Rain,Summer
1122,1999-07-23,25,10,,,Summer
1123,1999-07-24,29,15,,,Summer
1124,1999-07-25,28,17,,,Summer
1125,1999-07-26,22,14,,Rain,Summer
1126,1999-07-27,21,13,,,Summer
1127,1999-07-28,25,14,,,Summer
1128,1999-07-29,28,14,,,Summer
1129,1999-07-30,29,15,,,Summer
1130,1999-07-31,31,17,,,Summer
1131,1999-08-01,33,17,28,,Summer
1132,1999-08-02,31,19,28,Rain,Summer
1133,1999-08-03,23,18,,Rain,Summer
1134,1999-08-04,27,16,,Rain,Summer
1135,1999-08-05,26,17,,Rain,Summer
1136,1999-08-06,27,15,,Fog-Rain,Summer
1137,1999-08-07,24,17,,Rain,Summer
1138,1999-08-08,23,17,,Rain-Thunderstorm,Summer
1139,1999-08-09,21,16,24,Rain-Thunderstorm,Summer
1140,1999-08-10,17,14,,Rain,Summer
1141,1999-08-11,20,12,,,Summer
1142,1999-08-12,21,14,,Rain,Summer
1143,1999-08-13,22,14,,Rain,Summer
1144,1999-08-14,21,14,,Rain-Thunderstorm,Summer
1145,1999-08-15,21,12,,Rain,Summer
1146,1999-08-16,19,11,,Rain-Thunderstorm,Summer
1147,1999-08-17,17,10,28,Rain,Summer
1148,1999-08-18,20,13,30,Rain-Thunderstorm,Summer
1149,1999-08-19,20,13,,Rain,Summer
1150,1999-08-20,21,10,,,Summer
1151,1999-08-21,19,10,,,Summer
1152,1999-08-22,18,10,24,,Summer
1153,1999-08-23,21,14,22,Rain,Summer
1154,1999-08-24,18,14,,Rain,Summer
1155,1999-08-25,25,15,,Fog-Rain,Summer
1156,1999-08-26,23,16,,Rain,Summer
1157,1999-08-27,22,13,,,Summer
1158,1999-08-28,25,12,,,Summer
1159,1999-08-29,24,14,,Fog,Summer
1160,1999-08-30,23,15,,,Summer
1161,1999-08-31,23,14,,,Summer
1162,1999-09-01,24,13,,,Summer
1163,1999-09-02,26,15,,Fog,Summer
1164,1999-09-03,26,16,,Fog,Summer
1165,1999-09-04,27,14,,,Summer
1166,1999-09-05,27,15,,Fog-Rain-Thunderstorm,Summer
1167,1999-09-06,26,14,,Fog,Summer
1168,1999-09-07,24,14,,,Summer
1169,1999-09-08,23,12,23,,Summer
1170,1999-09-09,21,13,21,Rain,Summer
1171,1999-09-10,25,12,,Fog,Summer
1172,1999-09-11,28,18,23,,Summer
1173,1999-09-12,21,13,,,Summer
1174,1999-09-13,19,10,,Rain,Summer
1175,1999-09-14,14,12,,Rain,Summer
1176,1999-09-15,14,11,,Rain,Summer
1177,1999-09-16,18,10,31,Rain,Summer
1178,1999-09-17,20,10,,,Summer
1179,1999-09-18,19,12,33,Rain,Summer
1180,1999-09-19,19,15,,Rain,Summer
1181,1999-09-20,17,14,,Rain,Summer
1182,1999-09-21,20,12,,Fog-Rain,Summer
1183,1999-09-22,21,14,,Rain-Thunderstorm,Summer
1184,1999-09-23,20,14,,Rain-Thunderstorm,Autumn
1185,1999-09-24,20,15,,Rain,Autumn
1186,1999-09-25,20,13,,Rain,Autumn
1187,1999-09-26,18,12,,Rain,Autumn
1188,1999-09-27,19,13,30,Rain,Autumn
1189,1999-09-28,18,11,,Rain,Autumn
1190,1999-09-29,19,14,29,Rain-Thunderstorm,Autumn
1191,1999-09-30,18,13,,,Autumn
1192,1999-10-01,16,10,34,Rain,Autumn
1193,1999-10-02,16,8,38,Rain,Autumn
1194,1999-10-03,16,8,,Rain,Autumn
1195,1999-10-04,14,7,,,Autumn
1196,1999-10-05,14,4,,,Autumn
1197,1999-10-06,14,3,,Fog,Autumn
1198,1999-10-07,15,7,,Rain,Autumn
1199,1999-10-08,17,12,,Rain,Autumn
1200,1999-10-09,17,12,,,Autumn
1201,1999-10-10,19,14,,,Autumn
1202,1999-10-11,15,8,,,Autumn
1203,1999-10-12,15,4,,Fog,Autumn
1204,1999-10-13,16,5,,,Autumn
1205,1999-10-14,16,4,,Fog,Autumn
1206,1999-10-15,16,10,,,Autumn
1207,1999-10-16,16,8,,Fog,Autumn
1208,1999-10-17,15,8,25,,Autumn
1209,1999-10-18,13,7,31,,Autumn
1210,1999-10-19,12,6,32,,Autumn
1211,1999-10-20,11,7,30,Rain,Autumn
1212,1999-10-21,13,9,,Rain,Autumn
1213,1999-10-22,16,11,,Rain,Autumn
1214,1999-10-23,16,10,23,Rain,Autumn
1215,1999-10-24,13,10,38,Rain,Autumn
1216,1999-10-25,16,9,,,Autumn
1217,1999-10-26,16,6,,Fog,Autumn
1218,1999-10-27,16,6,,Fog,Autumn
1219,1999-10-28,17,10,23,Fog,Autumn
1220,1999-10-29,15,8,,Fog-Rain,Autumn
1221,1999-10-30,17,11,34,Rain,Autumn
1222,1999-10-31,14,10,,Rain,Autumn
1223,1999-11-01,17,12,43,Rain,Autumn
1224,1999-11-02,14,7,,,Autumn
1225,1999-11-03,15,6,,,Autumn
1226,1999-11-04,14,9,,Fog,Autumn
1227,1999-11-05,13,8,37,Rain,Autumn
1228,1999-11-06,11,6,32,Rain,Autumn
1229,1999-11-07,11,2,,,Autumn
1230,1999-11-08,13,9,,,Autumn
1231,1999-11-09,13,9,,,Autumn
1232,1999-11-10,11,8,28,Rain,Autumn
1233,1999-11-11,11,7,,Rain,Autumn
1234,1999-11-12,9,6,,,Autumn
1235,1999-11-13,11,4,,,Autumn
1236,1999-11-14,11,8,25,,Autumn
1237,1999-11-15,10,6,,Rain,Autumn
1238,1999-11-16,9,2,,Fog-Rain-Thunderstorm,Autumn
1239,1999-11-17,7,2,26,,Autumn
1240,1999-11-18,6,3,,Rain,Autumn
1241,1999-11-19,7,3,30,Rain,Autumn
1242,1999-11-20,7,4,,Rain,Autumn
1243,1999-11-21,8,3,,,Autumn
1244,1999-11-22,8,3,,Rain,Autumn
1245,1999-11-23,10,3,18,Fog,Autumn
1246,1999-11-24,13,10,,,Autumn
1247,1999-11-25,13,11,,Rain,Autumn
1248,1999-11-26,12,9,32,Rain,Autumn
1249,1999-11-27,11,6,,Rain,Autumn
1250,1999-11-28,13,11,33,Rain,Autumn
1251,1999-11-29,12,4,,Fog-Rain,Autumn
1252,1999-11-30,12,2,33,Fog-Rain,Autumn
